state;date;primeira_dose;segunda_dose;terceira_dose
Acre;17/01/2021;5;0;0
Acre;18/01/2021;5;0;0
Acre;19/01/2021;26;0;0
Acre;20/01/2021;947;2;0
Acre;21/01/2021;1326;2;0
Acre;22/01/2021;951;4;0
Acre;23/01/2021;154;2;0
Acre;24/01/2021;84;2;0
Acre;25/01/2021;752;0;0
Acre;26/01/2021;981;1;0
Acre;27/01/2021;1050;2;0
Acre;28/01/2021;859;0;0
Acre;29/01/2021;1372;3;0
Acre;30/01/2021;577;2;0
Acre;31/01/2021;124;0;0
Acre;01/02/2021;741;3;0
Acre;02/02/2021;422;2;0
Acre;03/02/2021;737;2;0
Acre;04/02/2021;433;38;0
Acre;05/02/2021;427;10;0
Acre;06/02/2021;130;30;0
Acre;07/02/2021;65;7;0
Acre;08/02/2021;737;62;0
Acre;09/02/2021;325;49;0
Acre;10/02/2021;605;76;0
Acre;11/02/2021;463;58;0
Acre;12/02/2021;554;125;0
Acre;13/02/2021;112;162;0
Acre;14/02/2021;103;26;0
Acre;15/02/2021;240;183;0
Acre;16/02/2021;527;255;0
Acre;17/02/2021;320;1188;0
Acre;18/02/2021;610;1203;0
Acre;19/02/2021;294;760;0
Acre;20/02/2021;333;238;0
Acre;21/02/2021;76;234;0
Acre;22/02/2021;349;672;0
Acre;23/02/2021;178;558;0
Acre;24/02/2021;173;473;0
Acre;25/02/2021;1531;292;0
Acre;26/02/2021;2373;710;0
Acre;27/02/2021;1008;87;0
Acre;28/02/2021;260;50;0
Acre;01/03/2021;1124;264;0
Acre;02/03/2021;1749;346;0
Acre;03/03/2021;1436;174;0
Acre;04/03/2021;1798;196;0
Acre;05/03/2021;1268;145;0
Acre;06/03/2021;141;29;0
Acre;07/03/2021;12;43;0
Acre;08/03/2021;140;87;0
Acre;09/03/2021;682;191;0
Acre;10/03/2021;906;479;0
Acre;11/03/2021;1582;258;0
Acre;12/03/2021;627;252;0
Acre;13/03/2021;73;47;0
Acre;14/03/2021;25;27;0
Acre;15/03/2021;438;228;0
Acre;16/03/2021;583;507;0
Acre;17/03/2021;665;311;0
Acre;18/03/2021;1433;261;0
Acre;19/03/2021;601;143;0
Acre;20/03/2021;43;28;0
Acre;21/03/2021;26;26;0
Acre;22/03/2021;785;164;0
Acre;23/03/2021;677;227;0
Acre;24/03/2021;1539;222;0
Acre;25/03/2021;3264;417;0
Acre;26/03/2021;2556;186;0
Acre;27/03/2021;284;79;0
Acre;28/03/2021;985;15;0
Acre;29/03/2021;2377;214;0
Acre;30/03/2021;3264;200;0
Acre;31/03/2021;3059;151;0
Acre;01/04/2021;2363;649;0
Acre;02/04/2021;236;129;0
Acre;03/04/2021;1040;74;0
Acre;04/04/2021;213;51;0
Acre;05/04/2021;1590;427;0
Acre;06/04/2021;1137;404;0
Acre;07/04/2021;1552;606;0
Acre;08/04/2021;867;828;0
Acre;09/04/2021;1226;443;0
Acre;10/04/2021;2617;165;0
Acre;11/04/2021;266;20;0
Acre;12/04/2021;1041;520;0
Acre;13/04/2021;776;327;0
Acre;14/04/2021;700;1423;0
Acre;15/04/2021;399;815;0
Acre;16/04/2021;556;576;0
Acre;17/04/2021;2345;252;0
Acre;18/04/2021;408;76;0
Acre;19/04/2021;757;345;0
Acre;20/04/2021;605;586;0
Acre;21/04/2021;395;174;0
Acre;22/04/2021;624;706;0
Acre;23/04/2021;522;557;0
Acre;24/04/2021;423;206;0
Acre;25/04/2021;244;116;0
Acre;26/04/2021;559;974;0
Acre;27/04/2021;533;1639;0
Acre;28/04/2021;583;2635;0
Acre;29/04/2021;517;2243;0
Acre;30/04/2021;325;884;0
Acre;01/05/2021;188;408;0
Acre;02/05/2021;144;132;0
Acre;03/05/2021;1116;1539;0
Acre;04/05/2021;1320;788;0
Acre;05/05/2021;1499;1818;0
Acre;06/05/2021;1432;918;0
Acre;07/05/2021;1845;712;0
Acre;08/05/2021;1028;591;0
Acre;09/05/2021;43;84;0
Acre;10/05/2021;1912;1256;0
Acre;11/05/2021;2304;787;0
Acre;12/05/2021;2318;683;0
Acre;13/05/2021;2475;510;0
Acre;14/05/2021;1733;459;0
Acre;15/05/2021;2115;512;0
Acre;16/05/2021;185;74;0
Acre;17/05/2021;2166;501;0
Acre;18/05/2021;1998;463;0
Acre;19/05/2021;1668;347;0
Acre;20/05/2021;2101;547;0
Acre;21/05/2021;2174;344;0
Acre;22/05/2021;359;126;0
Acre;23/05/2021;40;32;0
Acre;24/05/2021;1061;239;0
Acre;25/05/2021;1262;817;0
Acre;26/05/2021;1086;1336;0
Acre;27/05/2021;922;1400;0
Acre;28/05/2021;994;626;0
Acre;29/05/2021;1433;302;0
Acre;30/05/2021;68;20;0
Acre;31/05/2021;1203;1149;0
Acre;01/06/2021;1962;944;0
Acre;02/06/2021;2908;1483;0
Acre;03/06/2021;776;282;0
Acre;04/06/2021;1168;909;0
Acre;05/06/2021;637;340;0
Acre;06/06/2021;73;23;0
Acre;07/06/2021;2055;1114;0
Acre;08/06/2021;2745;490;0
Acre;09/06/2021;3411;460;0
Acre;10/06/2021;3395;393;0
Acre;11/06/2021;2969;299;0
Acre;12/06/2021;1967;145;0
Acre;13/06/2021;97;47;0
Acre;14/06/2021;4269;341;0
Acre;15/06/2021;3572;53;0
Acre;16/06/2021;7174;545;0
Acre;17/06/2021;7876;337;0
Acre;18/06/2021;11838;291;0
Acre;19/06/2021;7854;140;0
Acre;20/06/2021;3272;12;0
Acre;21/06/2021;6787;370;0
Acre;22/06/2021;6608;761;0
Acre;23/06/2021;6654;885;0
Acre;24/06/2021;1980;1017;0
Acre;25/06/2021;4578;3266;0
Acre;26/06/2021;6740;2438;0
Acre;27/06/2021;23;6;0
Acre;28/06/2021;4564;2137;0
Acre;29/06/2021;3527;1790;0
Acre;30/06/2021;4243;2121;0
Acre;01/07/2021;3662;1379;0
Acre;02/07/2021;5291;1253;0
Acre;03/07/2021;3663;510;0
Acre;04/07/2021;3453;152;0
Acre;05/07/2021;5562;1858;0
Acre;06/07/2021;5261;1536;0
Acre;07/07/2021;4297;1185;0
Acre;08/07/2021;2819;930;0
Acre;09/07/2021;3494;970;0
Acre;10/07/2021;2706;338;0
Acre;11/07/2021;41;25;0
Acre;12/07/2021;3919;1451;0
Acre;13/07/2021;2283;1264;0
Acre;14/07/2021;1675;1124;0
Acre;15/07/2021;974;795;0
Acre;16/07/2021;1437;1271;0
Acre;17/07/2021;2943;447;0
Acre;18/07/2021;90;110;0
Acre;19/07/2021;4026;1546;0
Acre;20/07/2021;4203;1328;0
Acre;21/07/2021;1388;1443;0
Acre;22/07/2021;1139;1300;0
Acre;23/07/2021;10996;1893;0
Acre;24/07/2021;4619;1279;0
Acre;25/07/2021;650;230;0
Acre;26/07/2021;6096;2499;0
Acre;27/07/2021;5603;2282;0
Acre;28/07/2021;3398;1729;0
Acre;29/07/2021;2282;1690;0
Acre;30/07/2021;2168;1932;0
Acre;31/07/2021;5131;896;0
Acre;01/08/2021;104;143;0
Acre;02/08/2021;2703;3893;0
Acre;03/08/2021;2322;4163;0
Acre;04/08/2021;3389;3480;0
Acre;05/08/2021;3004;4656;0
Acre;06/08/2021;4808;1459;0
Acre;07/08/2021;2302;1501;0
Acre;08/08/2021;229;353;0
Acre;09/08/2021;7963;4590;0
Acre;10/08/2021;5592;3980;0
Acre;11/08/2021;4739;3954;0
Acre;12/08/2021;6812;2954;0
Acre;13/08/2021;5808;3004;0
Acre;14/08/2021;3179;927;0
Acre;15/08/2021;234;67;0
Acre;16/08/2021;4204;3502;0
Acre;17/08/2021;4356;2777;0
Acre;18/08/2021;3290;2384;0
Acre;19/08/2021;2679;1805;0
Acre;20/08/2021;2585;2066;0
Acre;21/08/2021;801;693;0
Acre;22/08/2021;167;62;0
Acre;23/08/2021;2783;3467;0
Acre;24/08/2021;2563;2511;0
Acre;25/08/2021;2711;2277;0
Acre;26/08/2021;2123;3203;0
Acre;27/08/2021;1944;2564;0
Acre;28/08/2021;758;500;0
Acre;29/08/2021;66;25;0
Acre;30/08/2021;2024;4062;0
Acre;31/08/2021;1940;3895;0
Acre;01/09/2021;1802;3372;0
Acre;02/09/2021;1368;2756;0
Acre;03/09/2021;1335;3473;0
Acre;04/09/2021;384;889;0
Acre;05/09/2021;62;34;0
Acre;06/09/2021;498;1500;0
Acre;07/09/2021;373;910;0
Acre;08/09/2021;1482;3790;0
Acre;09/09/2021;1167;3791;0
Acre;10/09/2021;1129;3204;0
Acre;11/09/2021;436;1210;0
Acre;12/09/2021;58;57;0
Acre;13/09/2021;1301;4039;0
Acre;14/09/2021;1377;3753;0
Acre;15/09/2021;1687;3568;0
Acre;16/09/2021;1146;3539;0
Acre;17/09/2021;1090;3534;0
Acre;18/09/2021;313;1136;0
Acre;19/09/2021;73;115;0
Acre;20/09/2021;1185;4097;0
Acre;21/09/2021;913;3946;0
Acre;22/09/2021;964;3521;0
Acre;23/09/2021;773;2985;0
Acre;24/09/2021;1040;3619;0
Acre;25/09/2021;173;585;0
Acre;26/09/2021;40;66;0
Acre;27/09/2021;844;2899;0
Acre;28/09/2021;727;3636;0
Acre;29/09/2021;908;4211;0
Acre;30/09/2021;814;3690;0
Acre;01/10/2021;712;3783;0
Acre;02/10/2021;560;4644;0
Acre;03/10/2021;11;12;0
Acre;04/10/2021;652;3046;0
Acre;05/10/2021;674;3043;0
Acre;06/10/2021;728;3325;0
Acre;07/10/2021;671;2644;0
Acre;08/10/2021;727;3275;0
Acre;09/10/2021;978;5151;0
Acre;10/10/2021;48;149;0
Acre;11/10/2021;150;929;0
Acre;12/10/2021;52;440;0
Acre;13/10/2021;718;3235;0
Acre;14/10/2021;601;2748;0
Acre;15/10/2021;485;2319;0
Acre;16/10/2021;252;1424;0
Acre;17/10/2021;6;5;0
Acre;18/10/2021;606;2735;0
Acre;19/10/2021;490;2704;0
Acre;20/10/2021;555;2718;0
Acre;21/10/2021;410;2202;0
Acre;22/10/2021;498;2419;0
Acre;23/10/2021;156;1062;0
Acre;24/10/2021;0;4;0
Acre;25/10/2021;438;2046;0
Acre;26/10/2021;615;2656;0
Acre;27/10/2021;502;2555;0
Acre;28/10/2021;382;2077;0
Acre;29/10/2021;87;691;0
Acre;30/10/2021;76;575;0
Acre;31/10/2021;23;238;0
Acre;01/11/2021;88;692;0
Acre;02/11/2021;48;61;0
Acre;03/11/2021;780;2528;0
Acre;04/11/2021;550;2659;0
Acre;05/11/2021;517;2278;0
Acre;06/11/2021;273;916;0
Acre;07/11/2021;80;84;0
Acre;08/11/2021;548;2732;0
Acre;09/11/2021;536;2567;0
Acre;10/11/2021;408;2316;0
Acre;11/11/2021;392;2309;0
Acre;12/11/2021;419;2279;0
Acre;13/11/2021;332;631;0
Acre;14/11/2021;54;70;0
Acre;15/11/2021;94;86;0
Acre;16/11/2021;117;918;0
Acre;17/11/2021;563;3156;0
Acre;18/11/2021;439;2698;0
Acre;19/11/2021;455;2425;0
Acre;20/11/2021;493;4386;0
Acre;21/11/2021;20;40;0
Acre;22/11/2021;532;2926;0
Acre;23/11/2021;423;2538;1
Acre;24/11/2021;442;2681;0
Acre;25/11/2021;471;3254;0
Acre;26/11/2021;474;2937;1
Acre;27/11/2021;102;763;0
Acre;28/11/2021;64;87;0
